Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0079191,-0.1784,-0.25471,0,0,0,6.9125E-06,7.0792E-07,-4.6542E-09,3.5435E-09,1.2812E-06,-2.2445E-08,5.7633E-07,0,0,0,0,0,0,package://Cheetah/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Cheetah/meshes/base_link.STL,,mini_body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Shoulder_1,-0.581506480977278,0.20423053287058,0.181374939659368,0,0,0,6.91245341957363E-06,5.76327494791021E-07,-3.54350257196885E-09,2.24450358978102E-08,7.07919613126503E-07,-4.6541510718604E-09,1.28124715505522E-06,0,0,0,0,0,0,package://Cheetah/meshes/Shoulder_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cheetah/meshes/Shoulder_1.STL,,mini_abad-2,Origin_S1,,S1,fixed,0.21215,-0.3268,0.0029778,3.1416,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
Leg_1,-0.313121167918053,-0.0840470020508393,-7.21367410250195E-14,0,0,0,7.10635958497128E-07,4.54533556595649E-11,3.477390663554E-27,-5.49299625523495E-26,9.09055269258654E-11,4.22953164293911E-27,4.54533556595647E-11,0,0,0,0,0,0,package://Cheetah/meshes/Leg_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cheetah/meshes/Leg_1.STL,,mini_upper_link-1,Origin_L1,Axis_L1,L1,revolute,0,0,0,0,0.57745,0,Shoulder_1,0,1,0,0,0,0,0,,,,,,,,
Foot_1,1.22230288741587E-05,-0.0331708839529164,-0.000114259958520879,0,0,0,1.0174773963961E-06,1.33410968543908E-10,-4.91589432613722E-14,-1.69332202138811E-16,2.66818604044167E-10,4.59534120043545E-13,1.33412533334235E-10,0,0,0,0,0,0,package://Cheetah/meshes/Foot_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cheetah/meshes/Foot_1.STL,,mini_lower_link-1,Origin_F1,Axis_F1,F1,revolute,-0.31312,-0.050776,0,-0.0034728,0.076357,-0.00036956,Leg_1,0.00036848,-0.99999,-0.0034446,0,0,0,0,,,,,,,,
Shoulder_2,-0.581506480977278,-0.220068696429443,0.181936063780987,0,0,0,6.91245341957363E-06,5.76327494791021E-07,-3.54350257196885E-09,2.24450358978102E-08,7.07919613126503E-07,-4.6541510718604E-09,1.28124715505522E-06,0,0,0,0,0,0,package://Cheetah/meshes/Shoulder_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cheetah/meshes/Shoulder_2.STL,,mini_abad-7,Origin_S2,,S2,fixed,-0.21215,-0.3268,0.0035389,3.1416,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
Leg_2,-0.313121167918053,-0.0840470020508394,-3.33066907387547E-16,0,0,0,7.10635958497131E-07,4.54533556595656E-11,4.36766645260943E-27,-5.49299625523495E-26,9.09055269258662E-11,-6.31568709729828E-27,4.54533556595648E-11,0,0,0,0,0,0,package://Cheetah/meshes/Leg_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cheetah/meshes/Leg_2.STL,,mini_upper_link-9,Origin_L2,Axis_L2,L2,revolute,0,0,0,-3.1416,0.58158,0,Shoulder_2,0,1,0,0,0,0,0,,,,,,,,
Foot_2,-2.5686918161405E-06,0.00697092177517811,2.40119387236171E-05,0,0,0,1.01747739639608E-06,1.33410968543909E-10,-4.91589432612787E-14,-1.69332202707498E-16,2.66818604044169E-10,4.59534120043675E-13,1.33412533334236E-10,0,0,0,0,0,0,package://Cheetah/meshes/Foot_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cheetah/meshes/Foot_2.STL,,mini_lower_link-6,Origin_F2,Axis_F2,F2,revolute,-0.31312,-0.050076,0,3.1381,-0.22068,0.00037764,Leg_2,0.00036848,-0.99999,-0.0034446,0,0,0,0,,,,,,,,
Shoulder_3,-0.0720934965160085,0.220068696429443,0.181374939659368,0,0,0,6.91245341957363E-06,5.76327494791021E-07,-3.54350257196885E-09,-2.24450358978102E-08,7.07919613126503E-07,4.65415107186036E-09,1.28124715505522E-06,0,0,0,0,0,0,package://Cheetah/meshes/Shoulder_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cheetah/meshes/Shoulder_3.STL,,mini_abad-9,Origin_S3,,S3,fixed,-0.21215,0.3268,0.0029778,3.1416,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
Leg_3,-0.313121167918053,-0.0840470020508394,-2.77555756156289E-17,0,0,0,7.10635958497125E-07,4.54533556595648E-11,-2.08448896583657E-28,8.23949438285242E-26,9.09055269258656E-11,-9.19147402476448E-29,4.5453355659565E-11,0,0,0,0,0,0,package://Cheetah/meshes/Leg_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cheetah/meshes/Leg_3.STL,,mini_upper_link-11,Origin_L3,Axis_L3,L3,revolute,0,0,0,3.1416,0.67624,3.1416,Shoulder_3,0,1,0,0,0,0,0,,,,,,,,
Foot_3,-2.56869181658459E-06,0.00697092177517811,2.40119387235338E-05,0,0,0,1.01747739639609E-06,1.33410968543909E-10,-4.91589432617792E-14,-1.69332201085448E-16,2.66818604044167E-10,4.59534120043267E-13,1.33412533334234E-10,0,0,0,0,0,0,package://Cheetah/meshes/Foot_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Cheetah/meshes/Foot_3.STL,,mini_lower_link-8,Origin_F3,Axis_F3,F3,revolute,-0.31312,-0.050076,0,3.138,-0.42041,0.00040363,Leg_3,0.00036848,-0.99999,-0.0034446,0,0,0,0,,,,,,,,
